,distance,pixel_i,pixel_j,patch_loc
0,0.006585202,8191.0,907.0,3001120200000.0
1,0.0009125725,6248.0,0.0,3001120200000.0
2,0.011877969,8176.0,5930.0,3001120200000.0
3,0.011074599,0.0,7023.0,3001120200000.0
4,0.0054155225,1035.0,8177.0,3001120200000.0
5,0.038699932,0.0,8052.0,3001120200000.0
6,0.07084632,0.0,453.0,3001120200000.0
7,0.01869241,0.0,432.0,3001120200000.0
8,0.00074487226,3333.0,0.0,3001120200000.0
9,0.0,0.0,0.0,0.0
10,0.0,7577.0,3514.0,3001120200000.0
11,0.02068079,8191.0,7909.0,3001120200000.0
12,0.028234225,8191.0,7903.0,3001120200000.0
13,0.012741241,8061.0,8191.0,3001120200000.0
14,0.022395171,8191.0,7903.0,3001120200000.0
15,0.016490055,8191.0,7909.0,3001120200000.0
16,0.006026571,0.0,5808.0,3001120200000.0
17,0.008043106,8191.0,8173.0,3001120200000.0
18,0.014615469,137.0,2.0,3001120200000.0
19,0.009409361,163.0,8191.0,3001120200000.0
20,0.0030942473,0.0,3329.0,3001120200000.0
21,1.2138277e-05,1124.0,8179.0,3001120200000.0
22,0.030144172,3333.0,0.0,3001120200000.0
23,0.0022806076,0.0,7240.0,3001120200000.0
24,0.002028371,5271.0,0.0,3001120200000.0
25,0.05922104,0.0,453.0,3001120200000.0
26,0.0,1159.0,7597.0,3001120200000.0
27,0.0,2826.0,3447.0,3001120200000.0
28,0.0020118465,8191.0,7229.0,3001120200000.0
29,0.00018463586,2781.0,0.0,3001120200000.0
30,0.018359717,8061.0,8191.0,3001120200000.0
31,0.018148037,0.0,689.0,3001120200000.0
32,0.0,0.0,0.0,0.0
33,0.018573757,0.0,432.0,3001120200000.0
34,0.02840245,8191.0,7903.0,3001120200000.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.024459422,6280.0,8191.0,3001120200000.0
38,0.026251215,8153.0,8191.0,3001120200000.0
39,0.019899998,8191.0,7909.0,3001120200000.0
40,0.021296958,8191.0,7909.0,3001120200000.0
41,0.01118064,12.0,0.0,3001120200000.0
42,0.0053205728,0.0,3954.0,3001120200000.0
43,0.0040066633,5074.0,8131.0,3001120200000.0
44,0.019376907,0.0,432.0,3001120200000.0
45,0.013994944,8191.0,7909.0,3001120200000.0
46,0.003562703,0.0,4006.0,3001120200000.0
47,0.00016273152,7213.0,0.0,3001120200000.0
48,0.009323038,7966.0,8191.0,3001120200000.0
49,3.3993416e-05,4562.0,0.0,3001120200000.0
50,0.01919717,0.0,7945.0,3001120200000.0
51,0.0005089768,6621.0,8191.0,3001120200000.0
52,0.011786361,0.0,243.0,3001120200000.0
53,0.011271499,8191.0,3657.0,3001120200000.0
54,0.026778454,1888.0,8191.0,3001120200000.0
55,0.010758121,8191.0,3284.0,3001120200000.0
56,0.012952158,12.0,0.0,3001120200000.0
57,0.0006486878,6991.0,8191.0,3001120200000.0
58,0.020744797,0.0,432.0,3001120200000.0
59,0.001595499,4588.0,8191.0,3001120200000.0
60,0.0008258077,7829.0,0.0,3001120200000.0
61,0.0,0.0,0.0,0.0
62,0.0,7184.0,7580.0,3001120200000.0
63,0.0062985653,246.0,8148.0,3001120200000.0
64,0.013175123,8191.0,5728.0,3001120200000.0
65,0.008881891,2666.0,0.0,3001120200000.0
66,0.011568667,333.0,8191.0,3001120200000.0
67,0.012323237,8191.0,7013.0,3001120200000.0
68,0.0027225078,8148.0,8191.0,3001120200000.0
69,0.0,2084.0,4021.0,3001120200000.0
70,0.033545442,2771.0,0.0,3001120200000.0
71,0.018265339,8191.0,7909.0,3001120200000.0
72,0.014071804,6655.0,1.0,3001120200000.0
73,0.0021946058,0.0,5796.0,3001120200000.0
74,0.0021590672,0.0,4006.0,3001120200000.0
75,0.025063422,8191.0,7903.0,3001120200000.0
76,0.011362917,8176.0,5931.0,3001120200000.0
77,0.0,1831.0,6083.0,3001120200000.0
78,0.008149714,0.0,243.0,3001120200000.0
79,0.036979243,693.0,8191.0,3001120200000.0
80,0.016238647,8191.0,7903.0,3001120200000.0
81,0.024475262,485.0,8191.0,3001120200000.0
82,0.041658826,693.0,8191.0,3001120200000.0
83,0.02543061,3698.0,0.0,3001120200000.0
84,0.0003006021,2781.0,0.0,3001120200000.0
85,0.0,7641.0,7817.0,3001120200000.0
86,0.02057875,8191.0,7903.0,3001120200000.0
87,0.009201426,0.0,1273.0,3001120200000.0
88,0.02531389,8033.0,8191.0,3001120200000.0
89,0.00043376826,2771.0,0.0,3001120200000.0
90,0.0,7119.0,8004.0,3001120200000.0
91,0.015271511,0.0,432.0,3001120200000.0
92,0.06963927,0.0,453.0,3001120200000.0
93,0.0034181508,7553.0,8191.0,3001120200000.0
94,0.0,7816.0,4090.0,3001120200000.0
95,0.010304869,8061.0,8191.0,3001120200000.0
96,0.013867412,7692.0,8191.0,3001120200000.0
97,0.017194025,1070.0,8191.0,3001120200000.0
98,0.009854437,8191.0,7013.0,3001120200000.0
99,0.0,0.0,0.0,0.0
100,0.020781837,8191.0,7903.0,3001120200000.0
101,7.351888e-05,3771.0,0.0,3001120200000.0
102,0.016135018,8191.0,7909.0,3001120200000.0
103,1.8964201e-06,5841.0,8191.0,3001120200000.0
104,0.020958375,8191.0,7909.0,3001120200000.0
105,7.190744e-05,5681.0,0.0,3001120200000.0
106,0.015047308,8191.0,4311.0,3001120200000.0
107,0.0023992658,7304.0,0.0,3001120200000.0
108,0.024885584,7777.0,8191.0,3001120200000.0
109,0.0013778316,172.0,8191.0,3001120200000.0
110,0.042135995,0.0,8052.0,3001120200000.0
111,0.021528209,2681.0,8191.0,3001120200000.0
112,0.00926065,8061.0,8191.0,3001120200000.0
113,0.0069925557,8191.0,8033.0,3001120200000.0
114,0.0002667613,6627.0,8191.0,3001120200000.0
115,0.02080667,5671.0,0.0,3001120200000.0
116,0.022561248,4866.0,0.0,3001120200000.0
117,0.039310418,6166.0,8191.0,3001120200000.0
118,0.0,2124.0,8026.0,3001120200000.0
119,0.017750802,7524.0,8191.0,3001120200000.0
120,0.039730374,0.0,8052.0,3001120200000.0
121,0.0088869585,2666.0,0.0,3001120200000.0
122,0.012984852,2666.0,0.0,3001120200000.0
123,0.005121232,2997.0,8191.0,3001120200000.0
124,0.012674133,8191.0,413.0,3001120200000.0
125,0.0070791775,6985.0,0.0,3001120200000.0
126,0.01968536,8191.0,7909.0,3001120200000.0
127,0.02814091,8153.0,8191.0,3001120200000.0
128,0.015039354,4688.0,0.0,3001120200000.0
129,0.018240549,8191.0,7909.0,3001120200000.0
130,0.013001972,0.0,4042.0,3001120200000.0
131,0.020889748,0.0,7945.0,3001120200000.0
132,0.01376234,6914.0,8191.0,3001120200000.0
133,0.010898098,0.0,4169.0,3001120200000.0
134,0.04676506,693.0,8191.0,3001120200000.0
135,0.00542199,1035.0,8177.0,3001120200000.0
136,0.053542882,492.0,0.0,3001120200000.0
137,0.02231978,8191.0,7903.0,3001120200000.0
138,0.033935588,693.0,8191.0,3001120200000.0
139,0.022771932,3698.0,0.0,3001120200000.0
140,0.008648585,8191.0,117.0,3001120200000.0
141,0.020090565,8191.0,7909.0,3001120200000.0
142,0.00020051387,8191.0,2892.0,3001120200000.0
143,0.015002493,8191.0,7909.0,3001120200000.0
144,0.012807689,8191.0,7909.0,3001120200000.0
145,0.015043341,8191.0,7909.0,3001120200000.0
146,0.0,7101.0,4455.0,3001120200000.0
147,0.013327403,8191.0,7013.0,3001120200000.0
148,0.012933515,8061.0,8191.0,3001120200000.0
149,0.015338171,8191.0,7909.0,3001120200000.0
150,0.0001925825,7786.0,6.0,3001120200000.0
151,0.042477433,3695.0,0.0,3001120200000.0
152,0.009095635,246.0,8148.0,3001120200000.0
153,0.041027583,693.0,8191.0,3001120200000.0
154,0.02920106,0.0,689.0,3001120200000.0
155,0.012912333,8191.0,101.0,3001120200000.0
156,0.0016742869,4049.0,8191.0,3001120200000.0
157,0.018120628,8086.0,8191.0,3001120200000.0
158,0.0,0.0,0.0,0.0
159,0.012834382,3199.0,8191.0,3001120200000.0
160,0.020806577,485.0,8191.0,3001120200000.0
161,0.0173048,8191.0,7903.0,3001120200000.0
162,1.3959834e-06,3380.0,8191.0,3001120200000.0
163,0.018131642,8191.0,7909.0,3001120200000.0
164,0.015315264,8191.0,7909.0,3001120200000.0
165,0.011877078,0.0,7291.0,3001120200000.0
166,0.0,2048.0,5418.0,3001120200000.0
167,0.021410873,3621.0,8191.0,3001120200000.0
168,0.06427418,0.0,453.0,3001120200000.0
169,0.0001352148,3788.0,8191.0,3001120200000.0
170,0.01884152,1306.0,0.0,3001120200000.0
171,0.016524998,8191.0,4311.0,3001120200000.0
172,0.008381557,8061.0,8191.0,3001120200000.0
173,0.02431137,8191.0,7903.0,3001120200000.0
174,0.00726237,0.0,7581.0,3001120200000.0
175,0.018236622,12.0,0.0,3001120200000.0
176,0.005342158,1035.0,8177.0,3001120200000.0
177,0.01786077,8061.0,8191.0,3001120200000.0
178,0.029662192,2886.0,8191.0,3001120200000.0
179,0.0003800102,7829.0,0.0,3001120200000.0
180,0.007927305,2666.0,0.0,3001120200000.0
181,0.0042696395,0.0,7581.0,3001120200000.0
182,0.0009256882,7520.0,0.0,3001120200000.0
183,0.02954634,2320.0,0.0,3001120200000.0
184,0.00036698175,2883.0,0.0,3001120200000.0
185,0.00029519314,19.0,0.0,3001120200000.0
186,0.025509808,1383.0,8191.0,3001120200000.0
187,0.0,0.0,0.0,0.0
188,0.007860219,8176.0,5931.0,3001120200000.0
189,3.0218194e-05,6555.0,0.0,3001120200000.0
190,0.0026898978,8191.0,3474.0,3001120200000.0
191,0.01653486,12.0,0.0,3001120200000.0
192,0.020658059,427.0,8191.0,3001120200000.0
193,0.030323919,8191.0,7903.0,3001120200000.0
194,0.0042663887,8091.0,8191.0,3001120200000.0
195,0.011221489,8191.0,7013.0,3001120200000.0
196,0.01744013,8191.0,7903.0,3001120200000.0
197,0.023878083,7691.0,0.0,3001120200000.0
198,0.0,0.0,0.0,0.0
199,0.00025719998,4588.0,8191.0,3001120200000.0
200,0.00046498555,5271.0,8191.0,3001120200000.0
201,0.003003403,1035.0,8177.0,3001120200000.0
202,0.013531607,0.0,3637.0,3001120200000.0
203,0.029467534,0.0,7945.0,3001120200000.0
204,0.0010717782,5695.0,0.0,3001120200000.0
205,0.02328191,7717.0,8191.0,3001120200000.0
206,0.04025145,7438.0,0.0,3001120200000.0
207,0.020999499,8191.0,7909.0,3001120200000.0
208,0.0,5532.0,3678.0,3001120200000.0
209,0.0014741608,427.0,8191.0,3001120200000.0
210,0.012557822,7966.0,8191.0,3001120200000.0
211,0.06850524,492.0,0.0,3001120200000.0
212,0.008114172,1035.0,8177.0,3001120200000.0
213,0.0,6745.0,5550.0,3001120200000.0
214,0.06257684,0.0,453.0,3001120200000.0
215,0.0032015725,246.0,8148.0,3001120200000.0
216,0.011272249,0.0,6568.0,3001120200000.0
217,0.0,0.0,0.0,0.0
218,0.0006178463,7213.0,0.0,3001120200000.0
219,0.021607133,8191.0,7909.0,3001120200000.0
220,0.025599604,2886.0,8191.0,3001120200000.0
221,0.00054573116,3047.0,8191.0,3001120200000.0
222,0.011227031,8191.0,7013.0,3001120200000.0
223,0.0,1754.0,3415.0,3001120200000.0
224,0.017785583,0.0,689.0,3001120200000.0
225,0.014727997,333.0,8191.0,3001120200000.0
226,0.007946636,8191.0,7028.0,3001120200000.0
227,0.027710909,7777.0,8191.0,3001120200000.0
